	t	x	y
	2458	4.85737e+06	17368.8
	2459	4.85029e+06	17369.9
	2460	4.84318e+06	17370.7
	2461	4.83604e+06	17371.3
	2462	4.82889e+06	17371.6
	2463	4.82172e+06	17371.6
	2464	4.81454e+06	17371.3
	2465	4.80734e+06	17370.7
	2466	4.80013e+06	17369.9
	2467	4.79291e+06	17368.8
	2468	4.78568e+06	17367.5
	2469	4.77845e+06	17365.8
	2470	4.77121e+06	17364
	2471	4.76397e+06	17361.8
	2472	4.75673e+06	17359.4
	2473	4.74949e+06	17356.8
	2474	4.74226e+06	17353.9
	2475	4.73503e+06	17350.8
	2476	4.72781e+06	17347.4
	2477	4.72059e+06	17343.8
	2478	4.71339e+06	17339.9
	2479	4.7062e+06	17335.8
	2480	4.69902e+06	17331.5
	2481	4.69186e+06	17326.9
	2482	4.68472e+06	17322.2
	2483	4.6776e+06	17317.2
	2484	4.67049e+06	17312
	2485	4.66341e+06	17306.5
	2486	4.65635e+06	17300.9
	2487	4.64932e+06	17295.1
	2488	4.64231e+06	17289
	2489	4.63533e+06	17282.8
	2490	4.62838e+06	17276.3
	2491	4.62146e+06	17269.7
	2492	4.61457e+06	17262.8
	2493	4.60772e+06	17255.8
	2494	4.60091e+06	17248.6
	2495	4.59413e+06	17241.2
	2496	4.58738e+06	17233.7
	2497	4.58068e+06	17226
	2498	4.57402e+06	17218.1
	2499	4.5674e+06	17210
	2500	4.56082e+06	17201.8
	2501	4.55429e+06	17193.4
	2502	4.54781e+06	17184.9
	2503	4.54137e+06	17176.2
	2504	4.53498e+06	17167.3
	2505	4.52864e+06	17158.4
	2506	4.52235e+06	17149.2
	2507	4.51611e+06	17140
	2508	4.50992e+06	17130.6
	2509	4.50379e+06	17121.1
	2510	4.49772e+06	17111.4
	2511	4.4917e+06	17101.7
	2512	4.48574e+06	17091.8
	2513	4.47984e+06	17081.8
	2514	4.47399e+06	17071.7
	2515	4.46821e+06	17061.5
	2516	4.46249e+06	17051.1
	2517	4.45683e+06	17040.7
	2518	4.45124e+06	17030.2
	2519	4.44571e+06	17019.6
	2520	4.44025e+06	17008.9
	2521	4.43486e+06	16998.1
	2522	4.42953e+06	16987.3
	2523	4.42427e+06	16976.3
	2524	4.41908e+06	16965.3
	2525	4.41396e+06	16954.2
	2526	4.40891e+06	16943.1
	2527	4.40394e+06	16931.8
	2528	4.39904e+06	16920.6
	2529	4.39421e+06	16909.2
	2530	4.38946e+06	16897.8
	2531	4.38478e+06	16886.4
	2532	4.38018e+06	16874.9
	2533	4.37566e+06	16863.4
	2534	4.37122e+06	16851.8
	2535	4.36685e+06	16840.2
	2536	4.36257e+06	16828.5
	2537	4.35836e+06	16816.9
	2538	4.35424e+06	16805.2
	2539	4.35019e+06	16793.4
	2540	4.34623e+06	16781.7
	2541	4.34236e+06	16769.9
	2542	4.33857e+06	16758.2
	2543	4.33486e+06	16746.4
	2544	4.33124e+06	16734.6
	2545	4.3277e+06	16722.8
	2546	4.32425e+06	16711
	2547	4.32089e+06	16699.3
	2548	4.31761e+06	16687.5
	2549	4.31443e+06	16675.7
	2550	4.31133e+06	16664
	2551	4.30832e+06	16652.2
	2552	4.3054e+06	16640.5
	2553	4.30258e+06	16628.8
	2554	4.29984e+06	16617.1
	2555	4.29719e+06	16605.5
	2556	4.29464e+06	16593.9
	2557	4.29218e+06	16582.3
	2558	4.28981e+06	16570.8
	2559	4.28754e+06	16559.3
	2560	4.28535e+06	16547.8
	2561	4.28327e+06	16536.4
	2562	4.28127e+06	16525
	2563	4.27938e+06	16513.7
	2564	4.27757e+06	16502.5
	2565	4.27586e+06	16491.3
	2566	4.27425e+06	16480.1
	2567	4.27274e+06	16469.1
	2568	4.27132e+06	16458
	2569	4.26999e+06	16447.1
	2570	4.26876e+06	16436.2
	2571	4.26763e+06	16425.4
	2572	4.2666e+06	16414.7
	2573	4.26566e+06	16404.1
	2574	4.26483e+06	16393.5
	2575	4.26408e+06	16383.1
	2576	4.26344e+06	16372.7
	2577	4.26289e+06	16362.4
	2578	4.26244e+06	16352.2
	2579	4.26209e+06	16342.1
	2580	4.26184e+06	16332
	2581	4.26168e+06	16322.1
	2582	4.26163e+06	16312.3
	2583	4.26166e+06	16302.6
	2584	4.2618e+06	16293
	2585	4.26204e+06	16283.5
	2586	4.26237e+06	16274.1
	2587	4.26279e+06	16264.8
	2588	4.26332e+06	16255.7
	2589	4.26394e+06	16246.6
	2590	4.26466e+06	16237.7
	2591	4.26547e+06	16228.9
	2592	4.26638e+06	16220.2
	2593	4.26739e+06	16211.7
	2594	4.26849e+06	16203.3
	2595	4.26968e+06	16195
	2596	4.27097e+06	16186.8
	2597	4.27236e+06	16178.8
	2598	4.27384e+06	16170.9
	2599	4.27541e+06	16163.1
	2600	4.27707e+06	16155.5
	2601	4.27882e+06	16148
	2602	4.28067e+06	16140.7
	2603	4.28261e+06	16133.5
	2604	4.28464e+06	16126.4
	2605	4.28675e+06	16119.5
	2606	4.28896e+06	16112.8
	2607	4.29125e+06	16106.2
	2608	4.29363e+06	16099.7
	2609	4.2961e+06	16093.4
	2610	4.29866e+06	16087.3
	2611	4.30129e+06	16081.3
	2612	4.30402e+06	16075.4
	2613	4.30682e+06	16069.7
	2614	4.30971e+06	16064.2
	2615	4.31268e+06	16058.9
	2616	4.31573e+06	16053.7
	2617	4.31886e+06	16048.6
	2618	4.32207e+06	16043.7
	2619	4.32536e+06	16039
	2620	4.32872e+06	16034.5
	2621	4.33216e+06	16030.1
	2622	4.33567e+06	16025.9
	2623	4.33925e+06	16021.9
	2624	4.3429e+06	16018
	2625	4.34663e+06	16014.3
	2626	4.35042e+06	16010.8
	2627	4.35428e+06	16007.4
	2628	4.35821e+06	16004.2
	2629	4.36221e+06	16001.2
	2630	4.36626e+06	15998.3
	2631	4.37038e+06	15995.7
	2632	4.37456e+06	15993.2
	2633	4.3788e+06	15990.8
	2634	4.38309e+06	15988.7
	2635	4.38745e+06	15986.7
	2636	4.39185e+06	15984.9
	2637	4.39632e+06	15983.3
	2638	4.40083e+06	15981.8
	2639	4.40539e+06	15980.5
	2640	4.41e+06	15979.4
	2641	4.41466e+06	15978.5
	2642	4.41936e+06	15977.7
	2643	4.4241e+06	15977.2
	2644	4.42889e+06	15976.7
	2645	4.43372e+06	15976.5
	2646	4.43858e+06	15976.4
	2647	4.44348e+06	15976.6
	2648	4.44842e+06	15976.8
	2649	4.45339e+06	15977.3
	2650	4.45839e+06	15977.9
	2651	4.46341e+06	15978.7
	2652	4.46847e+06	15979.7
	2653	4.47355e+06	15980.8
	2654	4.47866e+06	15982.1
	2655	4.48378e+06	15983.6
	2656	4.48893e+06	15985.2
	2657	4.49409e+06	15987.1
	2658	4.49927e+06	15989
	2659	4.50447e+06	15991.2
	2660	4.50967e+06	15993.5
	2661	4.51489e+06	15995.9
	2662	4.52011e+06	15998.5
	2663	4.52535e+06	16001.3
	2664	4.53058e+06	16004.3
	2665	4.53582e+06	16007.4
	2666	4.54106e+06	16010.6
	2667	4.5463e+06	16014
	2668	4.55153e+06	16017.6
	2669	4.55676e+06	16021.3
	2670	4.56199e+06	16025.1
	2671	4.5672e+06	16029.2
	2672	4.5724e+06	16033.3
	2673	4.57759e+06	16037.6
	2674	4.58277e+06	16042
	2675	4.58793e+06	16046.6
	2676	4.59307e+06	16051.3
	2677	4.59819e+06	16056.2
	2678	4.60329e+06	16061.2
	2679	4.60837e+06	16066.3
	2680	4.61342e+06	16071.6
	2681	4.61845e+06	16077
	2682	4.62344e+06	16082.5
	2683	4.6284e+06	16088.1
	2684	4.63334e+06	16093.9
	2685	4.63823e+06	16099.7
	2686	4.64309e+06	16105.7
	2687	4.64792e+06	16111.8
	2688	4.6527e+06	16118.1
	2689	4.65745e+06	16124.4
	2690	4.66215e+06	16130.8
	2691	4.66681e+06	16137.4
	2692	4.67142e+06	16144
	2693	4.67599e+06	16150.8
	2694	4.6805e+06	16157.6
	2695	4.68497e+06	16164.6
	2696	4.68939e+06	16171.6
	2697	4.69375e+06	16178.7
	2698	4.69806e+06	16186
	2699	4.70232e+06	16193.3
	2700	4.70651e+06	16200.6
	2701	4.71065e+06	16208.1
	2702	4.71474e+06	16215.6
	2703	4.71876e+06	16223.2
