	t	x	y
	0	1000	5
	1	1017.26	5
	2	1035.72	4.99999
	3	1055.44	4.99999
	4	1076.53	4.99998
	5	1099.07	4.99998
	6	1123.16	4.99998
	7	1148.92	4.99998
	8	1176.45	4.99997
	9	1205.88	4.99997
	10	1237.34	4.99997
	11	1270.97	4.99997
	12	1306.92	4.99997
	13	1345.35	4.99997
	14	1386.42	4.99996
	15	1430.33	4.99997
	16	1477.27	4.99997
	17	1527.44	4.99997
	18	1581.08	4.99997
	19	1638.41	4.99997
	20	1699.69	4.99997
	21	1765.2	4.99998
	22	1835.23	4.99998
	23	1910.09	4.99999
	24	1990.1	4.99999
	25	2075.64	5
	26	2167.07	5.00001
	27	2264.8	5.00002
	28	2369.27	5.00003
	29	2480.94	5.00004
	30	2600.32	5.00005
	31	2727.92	5.00007
	32	2864.32	5.00008
	33	3010.11	5.0001
	34	3165.96	5.00012
	35	3332.56	5.00014
	36	3510.63	5.00016
	37	3700.98	5.00019
	38	3904.45	5.00021
	39	4121.94	5.00024
	40	4354.41	5.00027
	41	4602.91	5.00031
	42	4868.53	5.00035
	43	5152.46	5.00039
	44	5455.94	5.00043
	45	5780.34	5.00048
	46	6127.08	5.00053
	47	6497.71	5.00058
	48	6893.87	5.00064
	49	7317.31	5.0007
	50	7769.92	5.00077
	51	8253.69	5.00085
	52	8770.77	5.00093
	53	9323.45	5.00101
	54	9914.18	5.0011
	55	10545.6	5.0012
	56	11220.4	5.0013
	57	11941.7	5.00142
	58	12712.6	5.00154
	59	13536.5	5.00167
	60	14417.2	5.00181
	61	15358.3	5.00196
	62	16364.2	5.00212
	63	17439.2	5.00229
	64	18588.1	5.00248
	65	19816	5.00267
	66	21128.1	5.00289
	67	22530.4	5.00311
	68	24029	5.00336
	69	25630.4	5.00362
	70	27341.7	5.0039
	71	29170.3	5.00419
	72	31124.3	5.00451
	73	33212.2	5.00485
	74	35443.1	5.00522
	75	37826.8	5.00561
	76	40373.6	5.00603
	77	43094.6	5.00648
	78	46001.6	5.00696
	79	49107.2	5.00747
	80	52424.8	5.00802
	81	55968.7	5.00861
	82	59754.3	5.00923
	83	63797.7	5.00991
	84	68116.4	5.01062
	85	72728.7	5.01139
	86	77654.4	5.01221
	87	82914.3	5.01309
	88	88530.8	5.01403
	89	94527.6	5.01503
	90	100930	5.0161
	91	107765	5.01725
	92	115060	5.01847
	93	122847	5.01978
	94	131157	5.02118
	95	140025	5.02268
	96	149487	5.02428
	97	159582	5.02599
	98	170349	5.02781
	99	181833	5.02976
	100	194080	5.03184
