	t	x	y
	0	1000	7
	1	996.581	6.99999
	2	992.926	6.99997
	3	989.019	6.99996
	4	984.843	6.99994
	5	980.379	6.99993
	6	975.607	6.99991
	7	970.506	6.9999
	8	965.054	6.99988
	9	959.226	6.99987
	10	952.996	6.99985
	11	946.337	6.99983
	12	939.219	6.99982
	13	931.61	6.9998
	14	923.477	6.99979
	15	914.782	6.99977
	16	905.489	6.99976
	17	895.554	6.99974
	18	884.935	6.99972
	19	873.583	6.99971
	20	861.449	6.99969
	21	848.478	6.99967
	22	834.613	6.99966
	23	819.792	6.99964
	24	803.949	6.99962
	25	787.013	6.9996
	26	768.91	6.99958
	27	749.559	6.99957
	28	728.873	6.99955
	29	706.761	6.99953
	30	683.124	6.99951
	31	657.857	6.99949
	32	630.847	6.99947
	33	601.976	6.99945
	34	571.113	6.99943
	35	538.122	6.99941
	36	502.856	6.99938
	37	465.158	6.99936
	38	424.86	6.99934
	39	381.783	6.99931
	40	335.736	6.99929
	41	286.512	6.99926
	42	233.895	6.99924
	43	177.648	6.99921
	44	117.522	6.99918
	45	53.2493	6.99915
	46	0	6.99912
	47	0	6.99909
	48	0	6.99906
	49	0	6.99903
	50	0	6.999
	51	0	6.99897
	52	0	6.99894
	53	0	6.99891
	54	0	6.99888
	55	0	6.99885
	56	0	6.99882
	57	0	6.99879
	58	0	6.99876
	59	0	6.99873
	60	0	6.9987
	61	0	6.99867
	62	0	6.99864
	63	0	6.99861
	64	0	6.99858
	65	0	6.99855
	66	0	6.99852
	67	0	6.99849
	68	0	6.99846
	69	0	6.99843
	70	0	6.9984
	71	0	6.99837
	72	0	6.99834
	73	0	6.99831
	74	0	6.99828
	75	0	6.99825
	76	0	6.99822
	77	0	6.99819
	78	0	6.99816
	79	0	6.99813
	80	0	6.99809
	81	0	6.99806
	82	0	6.99803
	83	0	6.998
	84	0	6.99797
	85	0	6.99794
	86	0	6.99791
	87	0	6.99788
	88	0	6.99785
	89	0	6.99782
	90	0	6.99779
	91	0	6.99776
	92	0	6.99773
	93	0	6.9977
	94	0	6.99767
	95	0	6.99764
	96	0	6.99761
	97	0	6.99758
	98	0	6.99755
	99	0	6.99752
	100	0	6.99749
